1,Derek Westbrook,Jl. Cimahi,L,0885xxxxxxxx
2,Simon Riley,Jl. Coba lagi,L,0886xxxxxxxx
3,Mac Tavish,Jl. Coba itu,L,0888xxxxxxxx
4,James Ramirez,"Jl. Pahlawan No. 99, Kel. Sidoarjo, Kec. Sidoarjo, Sidoarjo, Jawa Timur",L,0884xxxxxx
5,Gary Sanderson,"Jl. Cendana No. 33, Kel. Tanjung Duren, Kec. Grogol Petamburan, Jakarta Barat, DKI Jakarta",L,0884xxxxxx
6,Takanashi Hoshino,"Jl. Anggrek No. 21, Kel. Cibubur, Kec. Ciracas, Jakarta Timur, DKI Jakarta",P,0884xxxxxx
7,Kuraue Hinata,"Jl. Raya Merdeka No. 77, Kel. Ngaliyan, Kec. Ngaliyan, Semarang, Jawa Tengah",P,0884xxxxxx
8,Yukimura Aoi,"Jl. Kuningan No. 56, Kel. Kuningan, Kec. Setiabudi, Jakarta Selatan, DKI Jakarta",P,0884xxxxxx
9,Sorasaki Hina,"Jl. Bintaro No. 10, Kel. Bintaro, Kec. Pesanggrahan, Jakarta Selatan, DKI Jakarta",P,0884xxxxxx
10,Tanga Ibuki,"Jl. Srikandi No. 5, Kel. Srikandi, Kec. Taman, Sidoarjo, Jawa Timur",P,0884xxxxxx
